cant_entrenemiento,clase,precision,recall,f1,tiempo_por_fold,tiempo_total_knn,tiempo_total_fold
125,0,0.9,0.9,0.9,1452196.8000000000465661287307739258,14521968,15569069
125,1,0.73333333333333328152292551749269478,1,0.82333333333333347248128575301961973,1452196.8000000000465661287307739258,14521968,15569069
125,2,0.1666666666666666574148081281236955,0.2000000000000000111022302462515654,0.17999999999999999333866185224906076,1452196.8000000000465661287307739258,14521968,15569069
125,3,0.38333333333333335923853724125365261,0.5,0.41666666666666662965923251249478199,1452196.8000000000465661287307739258,14521968,15569069
125,4,0.66666666666666662965923251249478199,0.75,0.67999999999999993782751062099123374,1452196.8000000000465661287307739258,14521968,15569069
125,5,0.40000000000000002220446049250313081,0.5,0.43333333333333329262515576374426018,1452196.8000000000465661287307739258,14521968,15569069
125,6,0.65000000000000002220446049250313081,0.69999999999999995559107901499373838,0.66666666666666662965923251249478199,1452196.8000000000465661287307739258,14521968,15569069
125,7,0.51666666666666660745477201999165118,0.59999999999999997779553950749686919,0.52333333333333331705006230549770407,1452196.8000000000465661287307739258,14521968,15569069
125,8,0.2999999999999999888977697537484346,0.40000000000000002220446049250313081,0.33333333333333331482961625624739099,1452196.8000000000465661287307739258,14521968,15569069
125,9,0.61666666666666658525031152748852037,0.75,0.63000000000000000444089209850062616,1452196.8000000000465661287307739258,14521968,15569069
150,0,0.85,0.9,0.866667,2013720.1000000000931322574615478516,20137201,21147905
150,1,0.6566666666666667317997507780091837,1,0.77714285714285702422188251148327254,2013720.1000000000931322574615478516,20137201,21147905
150,2,0.21666666666666664631257788187213009,0.2000000000000000111022302462515654,0.19666666666666668406016071912745247,2013720.1000000000931322574615478516,20137201,21147905
150,3,0.68333333333333334813630699500208721,0.69999999999999995559107901499373838,0.66666666666666662965923251249478199,2013720.1000000000931322574615478516,20137201,21147905
150,4,0.78333333333333343695414896501461044,0.80000000000000004440892098500626162,0.76000000000000000888178419700125232,2013720.1000000000931322574615478516,20137201,21147905
150,5,0.4500000000000000111022302462515654,0.55000000000000004440892098500626162,0.48333333333333328152292551749269478,2013720.1000000000931322574615478516,20137201,21147905
150,6,0.59999999999999997779553950749686919,0.69999999999999995559107901499373838,0.63333333333333330372738600999582559,2013720.1000000000931322574615478516,20137201,21147905
150,7,0.54999999999999993338661852249060757,0.59999999999999997779553950749686919,0.52333333333333320602775984298205003,2013720.1000000000931322574615478516,20137201,21147905
150,8,0.34999999999999997779553950749686919,0.40000000000000002220446049250313081,0.36666666666666664076146275874634739,2013720.1000000000931322574615478516,20137201,21147905
150,9,0.5333333333333333259318465024989564,0.65000000000000002220446049250313081,0.54000000000000003552713678800500929,2013720.1000000000931322574615478516,20137201,21147905
200,0,0.941667,0.916667,0.912381,3296960.2000000001862645149230957031,32969602,34187469
200,1,0.69166666666666665186369300499791279,0.96666666666666656304585103498538956,0.78833333333333333037273860099958256,3296960.2000000001862645149230957031,32969602,34187469
200,2,0.56666666666666665186369300499791279,0.40000000000000002220446049250313081,0.44666666666666665630458510349853896,3296960.2000000001862645149230957031,32969602,34187469
200,3,0.59999999999999997779553950749686919,0.69999999999999995559107901499373838,0.62666666666666670515439818700542673,3296960.2000000001862645149230957031,32969602,34187469
200,4,0.73333333333333328152292551749269478,0.80000000000000004440892098500626162,0.7433333333333332904047097144939471,3296960.2000000001862645149230957031,32969602,34187469
200,5,0.55000000000000004440892098500626162,0.55000000000000004440892098500626162,0.51666666666666671847707448250730522,3296960.2000000001862645149230957031,32969602,34187469
200,6,0.69999999999999995559107901499373838,0.75,0.70666666666666666518636930049979128,3296960.2000000001862645149230957031,32969602,34187469
200,7,0.76666666666666660745477201999165118,0.75,0.69666666666666665630458510349853896,3296960.2000000001862645149230957031,32969602,34187469
200,8,0.5,0.40000000000000002220446049250313081,0.41666666666666662965923251249478199,3296960.2000000001862645149230957031,32969602,34187469
200,9,0.72999999999999998223643160599749535,0.68333333333333334813630699500208721,0.64714285714285724182559533801395446,3296960.2000000001862645149230957031,32969602,34187469
300,0,0.91,0.95,0.920115,7600612.2999999998137354850769042969,76006123,78820842
300,1,0.78000000000000002664535259100375697,1,0.86507936507936500358795228748931549,7600612.2999999998137354850769042969,76006123,78820842
300,2,0.86666666666666658525031152748852037,0.63333333333333341474968847251147963,0.70357142857142851433138730499194935,7600612.2999999998137354850769042969,76006123,78820842
300,3,0.66166666666666662521834041399415582,0.70000000000000006661338147750939243,0.63619047619047608410625116448500194,7600612.2999999998137354850769042969,76006123,78820842
300,4,0.76666666666666660745477201999165118,0.76666666666666660745477201999165118,0.7552380952380952638947064770036377,7600612.2999999998137354850769042969,76006123,78820842
300,5,0.66666666666666662965923251249478199,0.5333333333333333259318465024989564,0.57380952380952376934430958499433473,7600612.2999999998137354850769042969,76006123,78820842
300,6,0.90999999999999992006394222698872909,0.73333333333333328152292551749269478,0.78500000000000003108624468950438313,7600612.2999999998137354850769042969,76006123,78820842
300,7,0.79166666666666662965923251249478199,0.76666666666666671847707448250730522,0.75333333333333329928649391149519943,7600612.2999999998137354850769042969,76006123,78820842
300,8,0.65000000000000002220446049250313081,0.56666666666666665186369300499791279,0.58333333333333325931846502498956397,7600612.2999999998137354850769042969,76006123,78820842
300,9,0.67777777777777781231804965500487015,0.80000000000000004440892098500626162,0.71296703296703278773804868251318112,7600612.2999999998137354850769042969,76006123,78820842
400,0,0.849524,0.935,0.883088,13148631.800000000745058059692382812,131486318,138389782
400,1,0.74547619047619040344443419598974288,1,0.84899711399711408343904395223944448,13148631.800000000745058059692382812,131486318,138389782
400,2,0.9800000000000000932587340685131494,0.6849999999999999422684027194918599,0.78833333333333333037273860099958256,13148631.800000000745058059692382812,131486318,138389782
400,3,0.79500000000000003996802888650563546,0.78499999999999992006394222698872909,0.75158730158730158166235923999920487,13148631.800000000745058059692382812,131486318,138389782
400,4,0.8800000000000001154631945610162802,0.80000000000000004440892098500626162,0.82698412698412693266902806499274448,13148631.800000000745058059692382812,131486318,138389782
400,5,0.74833333333333340586790427551022731,0.67500000000000004440892098500626162,0.68460317460317454685281290949205868,13148631.800000000745058059692382812,131486318,138389782
400,6,0.9016666666666666163365562169929035,0.80000000000000004440892098500626162,0.82325396825396846001154926852905191,13148631.800000000745058059692382812,131486318,138389782
400,7,0.82666666666666654972317473948351108,0.83000000000000007105427357601001859,0.8138095238095237604625253879930824,13148631.800000000745058059692382812,131486318,138389782
400,8,0.75833333333333330372738600999582559,0.63333333333333330372738600999582559,0.66904761904761911317507383500924334,13148631.800000000745058059692382812,131486318,138389782
400,9,0.75222222222222223653176342850201763,0.83499999999999996447286321199499071,0.77825396825396819799891545699210837,13148631.800000000745058059692382812,131486318,138389782
500,0,0.863333,0.943333,0.893045,20200882.199999999254941940307617188,202008822,210979300
500,1,0.78154761904761904656169235749985091,1,0.87389277389277375540643788554007187,20200882.199999999254941940307617188,202008822,210979300
500,2,0.98571428571428576503876684000715613,0.77857142857142858094476878250134178,0.85813519813519811840762940846616402,20200882.199999999254941940307617188,202008822,210979300
500,3,0.84142857142857141461433911899803206,0.79000000000000003552713678800500929,0.79244588744588750905961660464527085,20200882.199999999254941940307617188,202008822,210979300
500,4,0.79809523809523807980070841949782334,0.76333333333333341919058057101210579,0.76803418803418799232218816541717388,20200882.199999999254941940307617188,202008822,210979300
500,5,0.81714285714285705974901929948828183,0.76500000000000001332267629550187849,0.76182539682539684999795781550346874,20200882.199999999254941940307617188,202008822,210979300
500,6,0.83047619047619036791729740798473358,0.76000000000000000888178419700125232,0.77329004329004336071307079691905528,20200882.199999999254941940307617188,202008822,210979300
500,7,0.83714285714285718853489015600644052,0.83499999999999996447286321199499071,0.82368686868686880053758159192511812,20200882.199999999254941940307617188,202008822,210979300
500,8,0.90714285714285713968507707249955274,0.65500000000000002664535259100375697,0.72542568542568530709502283571055159,20200882.199999999254941940307617188,202008822,210979300
500,9,0.71095238095238089126581826349138282,0.7699999999999999067412659314868506,0.72934343434343440470968289446318522,20200882.199999999254941940307617188,202008822,210979300
600,0,0.883492,0.95,0.907269,28687157.300000000745058059692382812,286871573,297180007
600,1,0.77002164502164505144321537954965606,0.98333333333333339254522798000834882,0.85941607412195630821827307954663411,28687157.300000000745058059692382812,286871573,297180007
600,2,0.97083333333333343695414896501461044,0.79464285714285709527615608749329112,0.86780219780219769454276956821558997,28687157.300000000745058059692382812,286871573,297180007
600,3,0.82190476190476180473609701948589645,0.79666666666666663410012461099540815,0.79686813186813176823619642163976096,28687157.300000000745058059692382812,286871573,297180007
600,4,0.81452380952380953882396852350211702,0.73095238095238079800708419497823343,0.76476190476190475386886191699886695,28687157.300000000745058059692382812,286871573,297180007
600,5,0.82726190476190475386886191699886695,0.82666666666666654972317473948351108,0.82028638028638023449445881851715967,28687157.300000000745058059692382812,286871573,297180007
600,6,0.84666666666666667850904559600166976,0.76333333333333341919058057101210579,0.7867676767676767823900263465475291,28687157.300000000745058059692382812,286871573,297180007
600,7,0.80031746031746031633247184799984097,0.8366666666666665586049589364847634,0.80389388389388383160394369042478502,28687157.300000000745058059692382812,286871573,297180007
600,8,0.89166666666666682949937694502295926,0.65500000000000002664535259100375697,0.74137806637806646925525910774013028,28687157.300000000745058059692382812,286871573,297180007
600,9,0.6960317460317460014351809149957262,0.76666666666666671847707448250730522,0.72239926739926740850705755292437971,28687157.300000000745058059692382812,286871573,297180007
700,0,0.905505,0.971429,0.931881,38740940.29999999701976776123046875,387409403,399892261
700,1,0.77041125541125543563225619436707348,0.97321428571428580944768782501341775,0.85748157157599869115927049278980121,38740940.29999999701976776123046875,387409403,399892261
700,2,0.94821428571428578724322733251028694,0.77222222222222225429533182250452228,0.84518207282913171418670117418514565,38740940.29999999701976776123046875,387409403,399892261
700,3,0.87023809523809525501292228000238538,0.84285714285714286031492292750044726,0.84816183816183821075895821195445023,38740940.29999999701976776123046875,387409403,399892261
700,4,0.81035714285714277593797305598855019,0.76249999999999995559107901499373838,0.77918498168498162570472231891471893,38740940.29999999701976776123046875,387409403,399892261
700,5,0.84250000000000002664535259100375697,0.76666666666666671847707448250730522,0.79226440226440220104819900370785035,38740940.29999999701976776123046875,387409403,399892261
700,6,0.84880952380952368052646761498181149,0.83095238095238088682492616499075666,0.83194139194139182791332132183015347,38740940.29999999701976776123046875,387409403,399892261
700,7,0.80297619047619051002584456000477076,0.82857142857142851433138730499194935,0.80765567765567758407030396483605728,38740940.29999999701976776123046875,387409403,399892261
700,8,0.90976190476190477163243031100137159,0.7261904761904760530200064749806188,0.80263403263403243492746241827262565,38740940.29999999701976776123046875,387409403,399892261
700,9,0.71369047619047620845122992250253446,0.77321428571428563181200388498837128,0.7374310493428140045324425955186598,38740940.29999999701976776123046875,387409403,399892261
800,0,0.937727,0.965278,0.94623,50271461,502714610,517468694
800,1,0.76611111111111118709970924101071432,0.97777777777777785672697064001113176,0.85643176568873147225247066671727225,50271461,502714610,517468694
800,2,0.95388888888888900829954309301683679,0.80333333333333334369541489650146104,0.86742948056415569713095692350179888,50271461,502714610,517468694
800,3,0.8991161616161615910414184327237308,0.86964285714285693984493263997137547,0.8741065616530011572749003789795097,50271461,502714610,517468694
800,4,0.84349206349206351518432711600326002,0.76249999999999995559107901499373838,0.79414781297134240389823389705270529,50271461,502714610,517468694
800,5,0.89611111111111108051829887699568644,0.86428571428571421275677266748971306,0.8704220942456236675965897120477166,50271461,502714610,517468694
800,6,0.8752380952380951484315119159873575,0.89285714285714268267923898747540079,0.8790779645191409974458451870304998,50271461,502714610,517468694
800,7,0.78948412698412684385118609498022124,0.84107142857142846992246631998568773,0.80868347338935575585594506264897063,50271461,502714610,517468694
800,8,0.96071428571428574283430634750402533,0.74642857142857133023738924748613499,0.83309190809190813986617740738438442,50271461,502714610,517468694
800,9,0.75309523809523803983267953299218789,0.77500000000000002220446049250313081,0.75908029878618110686261388764251024,50271461,502714610,517468694
900,0,0.92965,0.968889,0.946312,63467990.600000001490116119384765625,634679906,651576458
900,1,0.77488011988011995523351060910499655,0.97888888888888880845939866048865952,0.8627994888406786966328354537836276,63467990.600000001490116119384765625,634679906,651576458
900,2,0.9586868686868686983970633264107164,0.80454545454545445259952884953236207,0.87001518948887368587463697622297332,63467990.600000001490116119384765625,634679906,651576458
900,3,0.85566378066378057098972931271418929,0.86944444444444446418174266000278294,0.85826281389748881878176689497195184,63467990.600000001490116119384765625,634679906,651576458
900,4,0.89078282828282839833633488524355926,0.77444444444444437980479278849088587,0.81690009337068159034345171676250175,63467990.600000001490116119384765625,634679906,651576458
900,5,0.87772727272727268932328570372192189,0.84027777777777790113589162501739338,0.84756217466743777322335517965257168,63467990.600000001490116119384765625,634679906,651576458
900,6,0.897380952380952501279409716516966,0.89583333333333325931846502498956397,0.8923022015823873775985930478782393,63467990.600000001490116119384765625,634679906,651576458
900,7,0.78053030303030301872979634936200455,0.86777777777777775902734447299735621,0.81909921863482237913700600984157063,63467990.600000001490116119384765625,634679906,651576458
900,8,0.94935064935064938929087929864181206,0.71944444444444444197728216749965213,0.80810116354234007296497566130710766,63467990.600000001490116119384765625,634679906,651576458
900,9,0.75989704739704733160721161766559817,0.78194444444444444197728216749965213,0.76256153976742224731566466289223172,63467990.600000001490116119384765625,634679906,651576458
1000,0,0.937576,0.970909,0.95117,78544050.20000000298023223876953125,785440502,804331100
1000,1,0.79477855477855485766269794112304226,0.9800000000000000932587340685131494,0.87518162996423876087703774828696623,78544050.20000000298023223876953125,785440502,804331100
1000,2,0.97321678321678317669096713871113025,0.84166666666666656304585103498538956,0.89902705989662512475746325435466133,78544050.20000000298023223876953125,785440502,804331100
1000,3,0.82911616161616163989123151623061858,0.87777777777777765688682620748295449,0.84903041918521782172035727853653952,78544050.20000000298023223876953125,785440502,804331100
1000,4,0.88078282828282827843224822572665289,0.76636363636363635798431914736283943,0.80859746290860834427860481810057536,78544050.20000000298023223876953125,785440502,804331100
1000,5,0.88433899433899443298656706247129478,0.83194444444444448638620315250591375,0.84567267098226839294738965691067278,78544050.20000000298023223876953125,785440502,804331100
1000,6,0.91161616161616176867710237274877727,0.92888888888888898609508260051370598,0.91728487886382636951054792007198557,78544050.20000000298023223876953125,785440502,804331100
1000,7,0.83899766899766903271995488466927782,0.8745454545454544037497157660254743,0.85424519797517517449847446187050082,78544050.20000000298023223876953125,785440502,804331100
1000,8,0.94166666666666665186369300499791279,0.7177777777777777368228839804942254,0.804496647143706056226619693916291,78544050.20000000298023223876953125,785440502,804331100
1000,9,0.7457375957375957931105858733644709,0.81222222222222240084477107302518561,0.76887130346209642262067518458934501,78544050.20000000298023223876953125,785440502,804331100
2000,0,0.95136,0.969211,0.959696,314816141.300000011920928955078125,3148161413,3189708747
