k,clase,precision,recall,f1,tiempo
1,0,0.966553,0.987883,0.97707,2.02649e+10
1,1,0.943222,0.985395,0.963835,2.02649e+10
1,2,0.974159,0.931111,0.952072,2.02649e+10
1,3,0.939952,0.924682,0.932142,2.02649e+10
1,4,0.94784,0.930721,0.939057,2.02649e+10
1,5,0.927342,0.941513,0.934305,2.02649e+10
1,6,0.966765,0.985048,0.975805,2.02649e+10
1,7,0.920879,0.951875,0.936094,2.02649e+10
1,8,0.963808,0.882065,0.920789,2.02649e+10
1,9,0.898823,0.916598,0.907516,2.02649e+10
2,0,0.966553,0.987883,0.97707,1.90126e+10
2,1,0.943222,0.985395,0.963835,1.90126e+10
2,2,0.974159,0.931111,0.952072,1.90126e+10
2,3,0.939952,0.924682,0.932142,1.90126e+10
2,4,0.94784,0.930721,0.939057,1.90126e+10
2,5,0.927342,0.941513,0.934305,1.90126e+10
2,6,0.966765,0.985048,0.975805,1.90126e+10
2,7,0.920879,0.951875,0.936094,1.90126e+10
2,8,0.963808,0.882065,0.920789,1.90126e+10
2,9,0.898823,0.916598,0.907516,1.90126e+10
3,0,0.957856,0.984863,0.971159,1.79994e+10
3,1,0.933456,0.986307,0.959151,1.79994e+10
3,2,0.977616,0.916743,0.946187,1.79994e+10
3,3,0.945625,0.947483,0.946534,1.79994e+10
3,4,0.962829,0.931758,0.946987,1.79994e+10
3,5,0.946604,0.935992,0.941246,1.79994e+10
3,6,0.962045,0.985044,0.97339,1.79994e+10
3,7,0.924504,0.952844,0.938386,1.79994e+10
3,8,0.966799,0.883137,0.922898,1.79994e+10
3,9,0.89381,0.929658,0.911335,1.79994e+10
4,0,0.959749,0.985871,0.972626,1.79643e+10
4,1,0.928849,0.989048,0.957996,1.79643e+10
4,2,0.978595,0.917698,0.947156,1.79643e+10
4,3,0.945593,0.947483,0.946529,1.79643e+10
4,4,0.969865,0.930717,0.949837,1.79643e+10
4,5,0.943775,0.939296,0.941439,1.79643e+10
4,6,0.963838,0.983048,0.973335,1.79643e+10
4,7,0.924481,0.953809,0.938884,1.79643e+10
4,8,0.97458,0.883133,0.926413,1.79643e+10
4,9,0.892288,0.931674,0.911516,1.79643e+10
5,0,0.958818,0.985871,0.972149,1.79467e+10
5,1,0.91797,0.98996,0.952584,1.79467e+10
5,2,0.978428,0.911004,0.943511,1.79467e+10
5,3,0.945466,0.944511,0.944976,1.79467e+10
5,4,0.968613,0.926571,0.947029,1.79467e+10
5,5,0.945931,0.940412,0.943077,1.79467e+10
5,6,0.961973,0.983052,0.972382,1.79467e+10
5,7,0.929302,0.948025,0.938555,1.79467e+10
5,8,0.97792,0.879986,0.926272,1.79467e+10
5,9,0.886208,0.93769,0.911162,1.79467e+10
6,0,0.957883,0.985871,0.971667,1.7989e+10
6,1,0.911087,0.98996,0.948852,1.7989e+10
6,2,0.97748,0.913874,0.944605,1.7989e+10
6,3,0.942504,0.942527,0.942497,1.7989e+10
6,4,0.966347,0.923472,0.944368,1.7989e+10
6,5,0.94687,0.940407,0.943575,1.7989e+10
6,6,0.96198,0.983048,0.97238,1.7989e+10
6,7,0.929959,0.944171,0.93698,1.7989e+10
6,8,0.978931,0.874716,0.923803,1.7989e+10
6,9,0.882041,0.93165,0.90614,1.7989e+10
7,0,0.960697,0.985871,0.973113,1.81406e+10
7,1,0.895965,0.989044,0.940166,1.81406e+10
7,2,0.978367,0.910038,0.942942,1.81406e+10
7,3,0.938881,0.943515,0.941179,1.81406e+10
7,4,0.963341,0.925534,0.943995,1.81406e+10
7,5,0.946487,0.937098,0.941759,1.81406e+10
7,6,0.961971,0.982048,0.971885,1.81406e+10
7,7,0.928523,0.947063,0.937614,1.81406e+10
7,8,0.976466,0.865249,0.917404,1.81406e+10
7,9,0.885182,0.921606,0.90299,1.81406e+10
8,0,0.961636,0.985871,0.973594,1.81476e+10
8,1,0.891566,0.989048,0.937736,1.81476e+10
8,2,0.977341,0.908126,0.941429,1.81476e+10
8,3,0.932329,0.941535,0.936887,1.81476e+10
8,4,0.965483,0.924505,0.944465,1.81476e+10
8,5,0.949641,0.937088,0.943316,1.81476e+10
8,6,0.960972,0.980056,0.970402,1.81476e+10
8,7,0.928384,0.945137,0.93657,1.81476e+10
8,8,0.977472,0.859984,0.914882,1.81476e+10
8,9,0.880186,0.921602,0.900337,1.81476e+10
9,0,0.95876,0.984863,0.97163,1.81405e+10
9,1,0.881547,0.98996,0.932562,1.81405e+10
9,2,0.976211,0.903337,0.9383,1.81405e+10
9,3,0.932148,0.937578,0.934779,1.81405e+10
9,4,0.961256,0.922431,0.941401,1.81405e+10
9,5,0.946091,0.929355,0.937643,1.81405e+10
9,6,0.958086,0.97906,0.968451,1.81405e+10
9,7,0.931247,0.937429,0.93427,1.81405e+10
9,8,0.973924,0.857861,0.912041,1.81405e+10
9,9,0.874778,0.917574,0.895548,1.81405e+10
10,0,0.961588,0.983855,0.972576,1.81159e+10
10,1,0.877882,0.98996,0.930528,1.81159e+10
10,2,0.976173,0.900467,0.936738,1.81159e+10
10,3,0.933269,0.940543,0.936836,1.81159e+10
10,4,0.960089,0.919327,0.93922,1.81159e+10
10,5,0.945049,0.930461,0.937685,1.81159e+10
10,6,0.958117,0.98006,0.968954,1.81159e+10
10,7,0.929267,0.934545,0.931832,1.81159e+10
10,8,0.971433,0.8526,0.907999,1.81159e+10
10,9,0.87129,0.91657,0.893243,1.81159e+10
11,0,0.962588,0.982847,0.972573,1.81073e+10
11,1,0.876474,0.98996,0.929739,1.81073e+10
11,2,0.978176,0.897601,0.936057,1.81073e+10
11,3,0.931421,0.940543,0.935912,1.81073e+10
11,4,0.970423,0.915191,0.94195,1.81073e+10
11,5,0.938874,0.932673,0.935744,1.81073e+10
11,6,0.957201,0.981052,0.968975,1.81073e+10
11,7,0.927249,0.929733,0.928353,1.81073e+10
11,8,0.973643,0.851549,0.908412,1.81073e+10
11,9,0.867128,0.923602,0.894422,1.81073e+10
12,0,0.961617,0.982847,0.972083,1.84845e+10
12,1,0.872966,0.98996,0.927752,1.84845e+10
12,2,0.980097,0.892819,0.934347,1.84845e+10
12,3,0.931471,0.940543,0.935927,1.84845e+10
12,4,0.97036,0.913125,0.940824,1.84845e+10
12,5,0.938929,0.933784,0.936333,1.84845e+10
12,6,0.957156,0.980056,0.968465,1.84845e+10
12,7,0.930005,0.930695,0.930223,1.84845e+10
12,8,0.973799,0.854714,0.910287,1.84845e+10
12,9,0.867281,0.92561,0.895462,1.84845e+10
13,0,0.961639,0.982847,0.972088,1.81203e+10
13,1,0.868784,0.98996,0.925377,1.81203e+10
13,2,0.977994,0.888988,0.931282,1.81203e+10
13,3,0.931242,0.936579,0.933823,1.81203e+10
13,4,0.968197,0.906935,0.93641,1.81203e+10
13,5,0.937785,0.931572,0.934663,1.81203e+10
13,6,0.958077,0.97906,0.968437,1.81203e+10
13,7,0.926692,0.933583,0.93002,1.81203e+10
13,8,0.972751,0.85681,0.910951,1.81203e+10
13,9,0.867971,0.923602,0.894811,1.81203e+10
14,0,0.960602,0.98083,0.97058,1.81394e+10
14,1,0.86461,0.98996,0.923012,1.81394e+10
14,2,0.980011,0.886114,0.930565,1.81394e+10
14,3,0.932301,0.937571,0.934835,1.81394e+10
14,4,0.966125,0.907968,0.935969,1.81394e+10
14,5,0.939765,0.93048,0.93509,1.81394e+10
14,6,0.956141,0.977068,0.966464,1.81394e+10
14,7,0.926528,0.93166,0.929001,1.81394e+10
14,8,0.973989,0.857861,0.912054,1.81394e+10
14,9,0.867228,0.924606,0.894891,1.81394e+10
15,0,0.959655,0.98083,0.970094,1.8121e+10
15,1,0.863888,0.98996,0.922608,1.8121e+10
15,2,0.979979,0.884202,0.929494,1.8121e+10
15,3,0.932533,0.940543,0.936423,1.8121e+10
15,4,0.9664,0.911067,0.937683,1.8121e+10
15,5,0.941843,0.929369,0.935558,1.8121e+10
15,6,0.954298,0.978064,0.966016,1.8121e+10
15,7,0.926212,0.925887,0.925921,1.8121e+10
15,8,0.973626,0.850503,0.90782,1.8121e+10
15,9,0.863416,0.926614,0.893795,1.8121e+10
16,0,0.958738,0.98083,0.969619,1.80733e+10
16,1,0.86185,0.98996,0.921436,1.80733e+10
16,2,0.982027,0.883244,0.929899,1.80733e+10
16,3,0.928766,0.939551,0.93404,1.80733e+10
16,4,0.964136,0.907964,0.935008,1.80733e+10
16,5,0.941797,0.928263,0.934971,1.80733e+10
16,6,0.952457,0.978064,0.965067,1.80733e+10
16,7,0.926796,0.922999,0.924777,1.80733e+10
16,8,0.973555,0.848389,0.906557,1.80733e+10
16,9,0.861715,0.926618,0.892939,1.80733e+10
17,0,0.958687,0.98083,0.969607,1.80957e+10
17,1,0.853744,0.990873,0.917197,1.80957e+10
17,2,0.984102,0.880374,0.929195,1.80957e+10
17,3,0.924891,0.937571,0.93114,1.80957e+10
17,4,0.96502,0.904864,0.933791,1.80957e+10
17,5,0.942839,0.928273,0.935488,1.80957e+10
17,6,0.95333,0.976068,0.964532,1.80957e+10
17,7,0.920445,0.921083,0.920626,1.80957e+10
17,8,0.978186,0.845234,0.906762,1.80957e+10
17,9,0.856242,0.92059,0.887162,1.80957e+10
18,0,0.95879,0.981839,0.970131,1.81298e+10
18,1,0.849755,0.990873,0.914885,1.81298e+10
18,2,0.984028,0.877504,0.927596,1.81298e+10
18,3,0.923806,0.935586,0.929619,1.81298e+10
18,4,0.963988,0.904869,0.933308,1.81298e+10
18,5,0.937178,0.922752,0.929903,1.81298e+10
18,6,0.951458,0.975072,0.96308,1.81298e+10
18,7,0.919454,0.920118,0.919642,1.81298e+10
18,8,0.978152,0.843124,0.905497,1.81298e+10
18,9,0.857646,0.919586,0.88747,1.81298e+10
19,0,0.957798,0.98083,0.969131,1.82035e+10
19,1,0.847813,0.990873,0.913748,1.82035e+10
19,2,0.984977,0.874634,0.926451,1.82035e+10
19,3,0.919781,0.93063,0.925138,1.82035e+10
19,4,0.960787,0.904869,0.931868,1.82035e+10
19,5,0.935795,0.917225,0.926416,1.82035e+10
19,6,0.951465,0.975072,0.963082,1.82035e+10
19,7,0.918436,0.920114,0.919199,1.82035e+10
19,8,0.973178,0.838913,0.900956,1.82035e+10
19,9,0.856092,0.919586,0.886606,1.82035e+10
20,0,0.958704,0.98083,0.969605,1.97034e+10
20,1,0.847156,0.990873,0.913366,1.97034e+10
20,2,0.984925,0.87081,0.924268,1.97034e+10
20,3,0.917982,0.93063,0.924231,1.97034e+10
20,4,0.960766,0.902803,0.930727,1.97034e+10
20,5,0.932655,0.917225,0.924875,1.97034e+10
20,6,0.951407,0.974076,0.962575,1.97034e+10
20,7,0.917304,0.918188,0.917723,1.97034e+10
20,8,0.972011,0.836813,0.899241,1.97034e+10
20,9,0.852933,0.91959,0.884916,1.97034e+10
21,0,0.955896,0.98083,0.968161,2.05275e+10
21,1,0.842522,0.990873,0.910671,2.05275e+10
21,2,0.983897,0.870814,0.923801,2.05275e+10
21,3,0.918889,0.929634,0.924182,2.05275e+10
21,4,0.96269,0.900736,0.93057,2.05275e+10
21,5,0.936609,0.913921,0.92512,2.05275e+10
21,6,0.949485,0.97308,0.96111,2.05275e+10
21,7,0.919045,0.918184,0.918593,2.05275e+10
21,8,0.973357,0.841028,0.902259,2.05275e+10
21,9,0.852933,0.919594,0.884947,2.05275e+10
22,0,0.955809,0.98083,0.968139,1.9459e+10
22,1,0.841871,0.990873,0.910291,1.9459e+10
22,2,0.98606,0.87273,0.925861,1.9459e+10
22,3,0.917028,0.929634,0.923257,1.9459e+10
22,4,0.961492,0.900736,0.930056,1.9459e+10
22,5,0.939565,0.909511,0.924286,1.9459e+10
22,6,0.949485,0.97308,0.96111,1.9459e+10
22,7,0.915562,0.918188,0.916845,1.9459e+10
22,8,0.973412,0.842074,0.902853,1.9459e+10
22,9,0.853586,0.918594,0.88485,1.9459e+10
23,0,0.95399,0.980826,0.967189,2.00502e+10
23,1,0.837267,0.990873,0.907601,2.00502e+10
23,2,0.985941,0.869852,0.92422,2.00502e+10
23,3,0.918792,0.928642,0.923629,2.00502e+10
23,4,0.958301,0.89867,0.92743,2.00502e+10
23,5,0.939646,0.910613,0.924885,2.00502e+10
23,6,0.950361,0.972084,0.961077,2.00502e+10
23,7,0.91637,0.917226,0.916779,2.00502e+10
23,8,0.97335,0.842074,0.902847,2.00502e+10
23,9,0.851578,0.91557,0.882343,2.00502e+10
24,0,0.954854,0.979818,0.967148,2.00853e+10
24,1,0.835362,0.990873,0.906467,2.00853e+10
24,2,0.985919,0.869852,0.924228,2.00853e+10
24,3,0.917774,0.92765,0.92263,2.00853e+10
24,4,0.954992,0.8966,0.924802,2.00853e+10
24,5,0.938771,0.91281,0.925593,2.00853e+10
24,6,0.951128,0.969096,0.960001,2.00853e+10
24,7,0.915456,0.917226,0.916331,2.00853e+10
24,8,0.97331,0.841023,0.902241,2.00853e+10
24,9,0.851444,0.914566,0.881797,2.00853e+10
25,0,0.952876,0.977802,0.965162,2.19111e+10
25,1,0.833458,0.990873,0.905343,2.19111e+10
25,2,0.985922,0.869852,0.924212,2.19111e+10
25,3,0.917086,0.929634,0.923238,2.19111e+10
25,4,0.955902,0.894521,0.924155,2.19111e+10
25,5,0.939633,0.909502,0.924304,2.19111e+10
25,6,0.946574,0.970092,0.958159,2.19111e+10
25,7,0.916244,0.915303,0.915762,2.19111e+10
25,8,0.974396,0.838918,0.901507,2.19111e+10
25,9,0.850647,0.914566,0.881357,2.19111e+10
26,0,0.952013,0.97881,0.965206,2.08014e+10
26,1,0.829038,0.990873,0.902718,2.08014e+10
26,2,0.984761,0.865067,0.921015,2.08014e+10
26,3,0.915283,0.929634,0.922327,2.08014e+10
26,4,0.957008,0.892451,0.923536,2.08014e+10
26,5,0.939421,0.906188,0.922493,2.08014e+10
26,6,0.945597,0.969092,0.957171,2.08014e+10
26,7,0.916336,0.916264,0.916288,2.08014e+10
26,8,0.974311,0.835758,0.899627,2.08014e+10
26,9,0.849944,0.914566,0.880948,2.08014e+10
27,0,0.95111,0.979822,0.965237,2.16267e+10
27,1,0.826508,0.990873,0.901217,2.16267e+10
27,2,0.985815,0.863151,0.920387,2.16267e+10
27,3,0.916081,0.928642,0.922261,2.16267e+10
27,4,0.957991,0.893479,0.924561,2.16267e+10
27,5,0.940358,0.903975,0.921799,2.16267e+10
27,6,0.944658,0.968096,0.95619,2.16267e+10
27,7,0.916323,0.916268,0.916279,2.16267e+10
27,8,0.970834,0.835762,0.89813,2.16267e+10
27,9,0.850665,0.914566,0.881373,2.16267e+10
28,0,0.950172,0.979822,0.964754,1.97396e+10
28,1,0.823958,0.990873,0.899717,1.97396e+10
28,2,0.984736,0.861235,0.918808,1.97396e+10
28,3,0.91418,0.926662,0.920307,1.97396e+10
28,4,0.956924,0.891417,0.922933,1.97396e+10
28,5,0.939268,0.903971,0.92127,1.97396e+10
28,6,0.945595,0.968096,0.956663,1.97396e+10
28,7,0.916362,0.916268,0.916289,1.97396e+10
28,8,0.970736,0.832602,0.896236,1.97396e+10
28,9,0.849707,0.913562,0.880409,1.97396e+10
29,0,0.949125,0.977802,0.963242,2.16047e+10
29,1,0.821468,0.990873,0.898231,2.16047e+10
29,2,0.984697,0.858366,0.917143,2.16047e+10
29,3,0.913097,0.924682,0.918786,2.16047e+10
29,4,0.955882,0.890384,0.921872,2.16047e+10
29,5,0.939218,0.903975,0.921256,2.16047e+10
29,6,0.94476,0.969092,0.956717,2.16047e+10
29,7,0.9163,0.915307,0.91577,2.16047e+10
29,8,0.97067,0.830497,0.894978,2.16047e+10
29,9,0.847324,0.912553,0.878616,2.16047e+10
30,0,0.948191,0.977802,0.962761,1.95397e+10
30,1,0.820203,0.990873,0.897478,1.95397e+10
30,2,0.983656,0.858366,0.916679,1.95397e+10
30,3,0.912236,0.924682,0.918342,1.95397e+10
30,4,0.95812,0.891417,0.923435,1.95397e+10
30,5,0.940249,0.902874,0.92118,1.95397e+10
30,6,0.942895,0.969092,0.95577,1.95397e+10
30,7,0.9163,0.915307,0.91577,1.95397e+10
30,8,0.970516,0.826291,0.892485,1.95397e+10
30,9,0.846448,0.911549,0.877676,1.95397e+10
31,0,0.947164,0.975782,0.96125,2.08968e+10
31,1,0.818334,0.990873,0.896357,2.08968e+10
31,2,0.983622,0.855499,0.915022,2.08968e+10
31,3,0.909525,0.923693,0.916465,2.08968e+10
31,4,0.958092,0.891417,0.923426,2.08968e+10
31,5,0.939015,0.899565,0.918856,2.08968e+10
31,6,0.941969,0.969092,0.955298,2.08968e+10
31,7,0.915437,0.91531,0.915324,2.08968e+10
31,8,0.970416,0.823131,0.890578,2.08968e+10
31,9,0.846785,0.913566,0.878784,2.08968e+10
32,0,0.946316,0.976794,0.961297,1.98348e+10
32,1,0.815253,0.990873,0.894512,1.98348e+10
32,2,0.985729,0.853584,0.914826,1.98348e+10
32,3,0.912096,0.922709,0.917264,1.98348e+10
32,4,0.954704,0.889347,0.920749,1.98348e+10
32,5,0.936846,0.898454,0.917219,1.98348e+10
32,6,0.941972,0.969092,0.9553,1.98348e+10
32,7,0.913477,0.913387,0.913386,1.98348e+10
32,8,0.972769,0.824181,0.892212,1.98348e+10
32,9,0.847631,0.914578,0.879729,1.98348e+10
33,0,0.946273,0.975786,0.960782,2.19293e+10
33,1,0.813402,0.990873,0.893403,2.19293e+10
33,2,0.984603,0.849756,0.912141,2.19293e+10
33,3,0.906074,0.923697,0.914668,2.19293e+10
33,4,0.956788,0.889347,0.921761,2.19293e+10
33,5,0.937737,0.895141,0.915897,2.19293e+10
33,6,0.941972,0.969092,0.9553,2.19293e+10
33,7,0.913391,0.912418,0.912866,2.19293e+10
33,8,0.972723,0.822071,0.890926,2.19293e+10
33,9,0.847779,0.916586,0.880768,2.19293e+10
34,0,0.945332,0.975786,0.960301,2.08559e+10
34,1,0.812199,0.990873,0.892673,2.08559e+10
34,2,0.985627,0.848794,0.912026,2.08559e+10
34,3,0.905219,0.923697,0.914225,2.08559e+10
34,4,0.956629,0.886244,0.92004,2.08559e+10
34,5,0.937723,0.895145,0.915909,2.08559e+10
34,6,0.942854,0.969092,0.955763,2.08559e+10
34,7,0.914297,0.912418,0.913308,2.08559e+10
34,8,0.972702,0.821016,0.890278,2.08559e+10
34,9,0.844542,0.916582,0.879049,2.08559e+10
